Genus,Dark1,Dark2,Dark3,IR1,IR2,IR3
g__Acidiferrimicrobium,0.001905363,0.001489935,0.00048998,0.000570346,0.001296223,0.000526192
g__Acidiluteibacter,0.006511634,0.013788935,8.68E-05,0.000156244,0.012310709,0.002105187
g__Actinomarinicola,0.002557305,0.001997225,0.000660984,0.0007617,0.001729367,0.000754087
g__Actinomyces,0.001343483,0.001027304,0.000432322,0.00047296,0.000861536,0.000470609
g__Aequorivita,0.162638641,0.209397626,0.119685399,0.063154002,0.200668187,0.15126391
g__Aestuariibacter,0.000831894,0.000591508,0.000651096,0.00062284,0.000448858,0.000459447
g__Aggregatilinea,0.00463086,0.003671959,0.002613818,0.003211969,0.003726164,0.002942287
g__Alcanivorax,0.000536093,0.000982211,0.00058518,0.001668068,0.002010888,0.004017643
g__Aliidiomarina,0.002946888,0.008613406,0.266528333,0.324798793,0.005375903,0.239804562
g__Aliiroseovarius,0.002278995,0.001726388,0.002157289,0.001306716,0.001501121,0.001156274
g__Allomuricauda,0.001845835,0.00177081,0.000580937,0.000557361,0.001637638,0.00078445
g__Altibacter,0.012152757,0.010304779,0.002161494,0.001380396,0.010846458,0.001488515
g__Anaerolinea,0.023811544,0.014817425,0.009836716,0.009423795,0.010931446,0.008509934
g__Aquicoccus,0.003242474,0.002503763,0.005764022,0.003275184,0.002505306,0.002215439
g__Aquihabitans,0.001140182,0.000859222,0.000277077,0.000323251,0.000776914,0.000332242
g__Aquimarina,0.001304268,0.001679003,0.000549229,0.000464759,0.001432497,0.000755763
g__Arenibacter,0.001115421,0.001470926,0.000672993,0.000638302,0.001479681,0.00084849
g__Aureisphaera,0.001899675,0.001465709,0.000348524,0.000261958,0.001072322,0.000186026
g__Aureitalea,0.002785581,0.002175187,0.000492404,0.000393514,0.001474077,0.000256734
g__Aureliella,0.00134344,0.000968972,0.000554002,0.000590122,0.000556098,0.000413121
g__Bdellovibrio,0.000753763,0.000421727,0.000126719,0.000139458,0.000499656,0.002784147
g__Bizionia,0.003532972,0.003495736,0.000829942,0.000308943,0.004155085,0.000900607
g__Brucella,0.001169475,0.001236686,0.000919157,0.000864082,0.001122308,0.00093958
g__Caldilinea,0.003341987,0.00209496,0.001371177,0.001326065,0.001642714,0.001239477
g__Caldithrix,0.001392876,0.001372677,0.00094594,0.001102506,0.001244816,0.000781745
g__Candidatus_Brocadia,0.000524461,0.000647193,0.000949728,0.000818978,0.000606287,0.000398911
g__Candidatus_Kuenenia,0.000330568,0.000497212,0.000775769,0.000618611,0.000447965,0.000281802
g__Candidatus_Microthrix,0.002608237,0.001664183,0.000516725,0.000606822,0.001591834,0.000837709
g__Candidatus_Promineifilum,0.009809701,0.005952785,0.004029167,0.003818407,0.004427226,0.003379523
g__Candidatus_Scalindua,0.016045976,0.024506549,0.047375952,0.037716748,0.024040793,0.015342125
g__Candidatus_Solibacter,0.000447999,0.00029858,0.000413456,0.000584355,0.000287937,0.000380015
g__Candidatus_Thiodiazotropha,0.000751454,0.000615142,0.001053263,0.001265242,0.000697001,0.00089234
g__Chlorobium,0.000633553,0.00052377,0.000321968,0.000438235,0.000458969,0.000281725
g__Constantimarinum,0.008300293,0.006297249,0.001476151,0.001147184,0.004474938,0.000676407
g__Dermatobacter,0.007456083,0.004014565,0.001045118,0.001178578,0.004245514,0.002556938
g__Flavobacterium,0.005263943,0.006305864,0.001480849,0.001608141,0.005217986,0.002617703
g__Fodinibius,0.000708219,0.000819306,0.00050733,0.000854344,0.000920334,0.00104587
g__Formosa,0.002822914,0.002713856,0.000621623,0.000197035,0.003254526,0.000661855
g__Fuerstiella,0.00078913,0.000685963,0.00032856,0.00031693,0.000451701,0.000299745
g__Fulvivirga,0.000662162,0.001071133,0.000290033,0.000277079,0.000851466,0.000499067
g__Gelidibacter,0.001289001,0.001691096,0.00075535,0.000563554,0.001685391,0.000920836
g__Gemmatimonas,0.002459802,0.001815745,0.000614615,0.000606652,0.001808386,0.001183475
g__Halioglobus,0.000878806,0.000773265,0.000588286,0.000645563,0.000782761,0.000634539
g__Halomonas,0.002199838,0.002368009,0.008589909,0.017959716,0.002084547,0.004600485
g__Iamia,0.002861573,0.00214112,0.000681516,0.000795315,0.001866818,0.000858586
g__Idiomarina,0.000322913,0.00161577,0.018178453,0.012228838,0.001617051,0.009060355
g__Ignavibacterium,0.006562266,0.006457822,0.004651017,0.006050798,0.005779323,0.003451488
g__Ilumatobacter,0.004300976,0.003001567,0.001148539,0.001310689,0.002594517,0.001475486
g__Inmirania,0.000362641,0.000230169,0.001020721,0.001357972,0.000271694,0.000456132
g__Kangiella,0.018440092,0.015996371,0.00079884,0.000690882,0.004820129,0.003994709
g__Kouleothrix,0.000945262,0.00058973,0.000408758,0.000407695,0.000491251,0.000368548
g__Lentibacter,0.00106389,0.0008495,0.001690191,0.000824189,0.000801277,0.000707075
g__Lentimicrobium,0.001059272,0.001278025,0.00018146,0.000260592,0.000863729,0.000418378
g__Leptolyngbya,0.003971092,0.003022118,0.00166265,0.001435581,0.001783941,0.001354948
g__Litorilinea,0.001565815,0.000963518,0.000630488,0.00060379,0.000762092,0.000575299
g__Luteitalea,0.000557133,0.000472274,0.000433875,0.000528188,0.000588908,0.000409845
g__Luteithermobacter,0.003733537,0.002003666,0.004284044,0.006740014,0.004926151,0.007409395
g__Lutibacter,0.00086401,0.001286403,0.000485282,0.000548306,0.001270682,0.000791536
g__Maribacter,0.002745425,0.003028204,0.000971208,0.000810819,0.002194224,0.001228353
g__Marimonas,0.009454843,0.007330046,0.016833263,0.008599777,0.007228874,0.006476635
g__Marinicella,0.069127968,0.069252701,0.118668201,0.109288185,0.111220021,0.111188892
g__Marinobacter,0.001872392,0.001721013,0.007953057,0.011275699,0.004013695,0.007466159
g__Maritimibacter,0.002406732,0.001721251,0.001957721,0.000959802,0.00137106,0.001359558
g__Marixanthomonas,0.002174265,0.002297978,0.000507178,0.000397017,0.001526906,0.000520249
g__Melioribacter,0.005900104,0.006319696,0.00465848,0.005963877,0.005516602,0.003133228
g__Membranihabitans,0.00725569,0.011585847,0.002839336,0.003777146,0.012107679,0.005301351
