Genus,Dark1,Dark2,Dark3,IR1,IR2,IR3,Initial
g__Acidiferrimicrobium,0.001905363,0.001489935,0.00048998,0.000570346,0.001296223,0.000526192,0.001643679
g__Acidiluteibacter,0.006511634,0.013788935,8.67522E-05,0.000156244,0.012310709,0.002105187,0.000118984
g__Actinomarinicola,0.002557305,0.001997225,0.000660984,0.0007617,0.001729367,0.000754087,0.002281842
g__Actinomyces,0.001343483,0.001027304,0.000432322,0.00047296,0.000861536,0.000470609,0.001561518
g__Aequorivita,0.162638641,0.209397626,0.119685399,0.063154002,0.200668187,0.15126391,0.01431487
g__Aestuariibacter,0.000831894,0.000591508,0.000651096,0.00062284,0.000448858,0.000459447,0.001710155
g__Aggregatilinea,0.00463086,0.003671959,0.002613818,0.003211969,0.003726164,0.002942287,0.013037329
g__Alcanivorax,0.000536093,0.000982211,0.00058518,0.001668068,0.002010888,0.004017643,0.000284648
g__Aliidiomarina,0.002946888,0.008613406,0.266528333,0.324798793,0.005375903,0.239804562,6.58042E-05
g__Aliiroseovarius,0.002278995,0.001726388,0.002157289,0.001306716,0.001501121,0.001156274,0.000748675
g__Allomuricauda,0.001845835,0.00177081,0.000580937,0.000557361,0.001637638,0.00078445,0.002300086
g__Altibacter,0.012152757,0.010304779,0.002161494,0.001380396,0.010846458,0.001488515,0.004755267
g__Anaerolinea,0.023811544,0.014817425,0.009836716,0.009423795,0.010931446,0.008509934,0.050702419
g__Aquicoccus,0.003242474,0.002503763,0.005764022,0.003275184,0.002505306,0.002215439,0.000577852
g__Aquihabitans,0.001140182,0.000859222,0.000277077,0.000323251,0.000776914,0.000332242,0.000926795
g__Aquimarina,0.001304268,0.001679003,0.000549229,0.000464759,0.001432497,0.000755763,0.001105335
g__Arenibacter,0.001115421,0.001470926,0.000672993,0.000638302,0.001479681,0.00084849,0.000642944
g__Aureisphaera,0.001899675,0.001465709,0.000348524,0.000261958,0.001072322,0.000186026,0.001012689
g__Aureitalea,0.002785581,0.002175187,0.000492404,0.000393514,0.001474077,0.000256734,0.001441108
g__Aureliella,0.00134344,0.000968972,0.000554002,0.000590122,0.000556098,0.000413121,0.001885213
g__Bdellovibrio,0.000753763,0.000421727,0.000126719,0.000139458,0.000499656,0.002784147,0.000766164
