Genus,Dark1,Dark2,Dark3,IR1,IR2,IR3
g__Acanthopleuribacter,0.000214035,0.000224399,0.000128158,0.000119383,0.000162708,0.000132348
g__Acidiferrimicrobium,0.001905363,0.001489935,0.00048998,0.000570346,0.001296223,0.000526192
g__Acidiluteibacter,0.006511634,0.013788935,8.68E-05,0.000156244,0.012310709,0.002105187
g__Acidimicrobium,0.000165156,0.000125992,5.37E-05,6.14E-05,9.41E-05,6.62E-05
g__Aciditerrimonas,0.000646895,0.000514008,0.000166837,0.000188492,0.000459903,0.000171778
g__Acidithiobacillus,0.00015455,0.00011548,6.77E-05,8.59E-05,9.51E-05,7.39E-05
g__Acinetobacter,0.000180294,0.000205508,0.000456605,0.000567228,0.000194096,0.000472133
g__Actibacterium,0.001003421,0.00077279,0.000492328,0.000380359,0.000594512,0.000364281
g__Actinomadura,0.000590917,0.000433781,0.000160738,0.000179437,0.000378082,0.000196046
g__Actinomarinicola,0.002557305,0.001997225,0.000660984,0.0007617,0.001729367,0.000754087
g__Actinomyces,0.001343483,0.001027304,0.000432322,0.00047296,0.000861536,0.000470609
g__Actinoplanes,0.000312564,0.000234517,9.01E-05,0.000100546,0.000208836,0.000120348
g__Adhaeribacter,0.000221947,0.000329169,5.97E-05,9.52E-05,0.000310879,0.000140158
g__Aequorivita,0.162638641,0.209397626,0.119685399,0.063154002,0.200668187,0.15126391
g__Aeromonas,9.37E-05,8.58E-05,0.000402204,0.000458694,9.50E-05,0.000357424
g__Aestuariibacter,0.000831894,0.000591508,0.000651096,0.00062284,0.000448858,0.000459447
g__Aestuariivita,0.000321032,0.000261351,0.000304239,0.000244446,0.00023791,0.000201989
g__Aestuariivivens,0.000193765,0.000201714,4.69E-05,4.48E-05,0.00018764,6.98E-05
g__Aggregatilinea,0.00463086,0.003671959,0.002613818,0.003211969,0.003726164,0.002942287
g__Ahniella,7.68E-05,6.53E-05,0.0001768,0.000260207,9.53E-05,0.000100118
g__Ahrensia,0.00016832,0.000115954,9.08E-05,7.51E-05,0.000102043,7.84E-05
g__Albibacillus,0.000150744,0.000129944,0.000144562,0.000110883,0.00011861,0.000101375
g__Alcanivorax,0.000536093,0.000982211,0.00058518,0.001668068,0.002010888,0.004017643
g__Algibacter,0.000622135,0.000733348,0.000243399,0.000171193,0.000715477,0.000322641
g__Algicola,0.000196759,0.000196063,9.30E-05,8.61E-05,0.000226013,0.000105985
g__Algisphaera,0.000597631,0.000227324,8.51E-05,0.000128737,0.001027412,0.000115395
g__Algoriphagus,0.000472588,0.000709399,0.0002176,0.000256662,0.000616276,0.000443522
g__Aliidiomarina,0.002946888,0.008613406,0.266528333,0.324798793,0.005375903,0.239804562
g__Aliikangiella,0.000111315,9.70E-05,0.000223851,0.000375361,0.000110245,0.000104042
g__Aliiroseovarius,0.002278995,0.001726388,0.002157289,0.001306716,0.001501121,0.001156274
g__Alkalilimnicola,0.00025047,0.000188119,0.000180778,0.000230137,0.000181996,0.000160311
g__Alloalcanivorax,6.89E-05,0.000107931,7.54E-05,0.000145096,0.000136355,0.000178369
g__Allomuricauda,0.001845835,0.00177081,0.000580937,0.000557361,0.001637638,0.00078445
g__Alterinioella,0.001427814,0.000977508,0.0003511,9.03E-05,0.000963579,0.000542421
g__Alteromonas,0.000668534,0.000582181,0.000572602,0.000636294,0.000475252,0.000533011
g__Altibacter,0.012152757,0.010304779,0.002161494,0.001380396,0.010846458,0.001488515
g__Amphiplicatus,0.000379448,0.000255384,0.000203735,0.000202886,0.000102327,0.000176655
g__Amycolatopsis,0.000416225,0.000309685,0.000108838,0.00012942,0.000269096,0.000139167
g__Amylibacter,0.000726865,0.00046603,0.000325188,0.00019601,0.000415886,0.000205227
g__Anaerolinea,0.023811544,0.014817425,0.009836716,0.009423795,0.010931446,0.008509934
g__Anaeromyxobacter,0.000412846,0.000353277,0.000133424,0.000131684,0.000531369,0.000454608
g__Anatilimnocola,0.000235931,0.00022602,9.55E-05,8.23E-05,0.00013469,8.33E-05
g__Ancylomarina,0.000146211,0.000261588,2.89E-05,6.97E-05,0.000224185,0.0001253
