ASV,Taxonomy
g__Acanthopleuribacter,g__Acanthopleuribacter;p__Acidobacteriota
g__Acidiferrimicrobium,g__Acidiferrimicrobium;p__Actinomycetota
g__Acidiluteibacter,g__Acidiluteibacter;p__Bacteroidota
g__Acidimicrobium,g__Acidimicrobium;p__Actinomycetota
g__Aciditerrimonas,g__Aciditerrimonas;p__Actinomycetota
g__Acidithiobacillus,g__Acidithiobacillus;p__Pseudomonadota
g__Acinetobacter,g__Acinetobacter;p__Pseudomonadota
g__Actibacterium,g__Actibacterium;p__Pseudomonadota
g__Actinomadura,g__Actinomadura;p__Actinomycetota
g__Actinomarinicola,g__Actinomarinicola;p__Actinomycetota
g__Actinomyces,g__Actinomyces;p__Actinomycetota
g__Actinoplanes,g__Actinoplanes;p__Actinomycetota
g__Adhaeribacter,g__Adhaeribacter;p__Bacteroidota
g__Aequorivita,g__Aequorivita;p__Bacteroidota
g__Aeromonas,g__Aeromonas;p__Pseudomonadota
g__Aestuariibacter,g__Aestuariibacter;p__Pseudomonadota
g__Aestuariivita,g__Aestuariivita;p__Pseudomonadota
g__Aestuariivivens,g__Aestuariivivens;p__Bacteroidota
g__Aggregatilinea,g__Aggregatilinea;p__Chloroflexota
g__Ahniella,g__Ahniella;p__Pseudomonadota
g__Ahrensia,g__Ahrensia;p__Pseudomonadota
g__Albibacillus,g__Albibacillus;p__Pseudomonadota
g__Alcanivorax,g__Alcanivorax;p__Pseudomonadota
g__Algibacter,g__Algibacter;p__Bacteroidota
g__Algicola,g__Algicola;p__Pseudomonadota
g__Algisphaera,g__Algisphaera;p__Planctomycetota
g__Algoriphagus,g__Algoriphagus;p__Bacteroidota
g__Aliidiomarina,g__Aliidiomarina;p__Pseudomonadota
g__Aliikangiella,g__Aliikangiella;p__Pseudomonadota
g__Aliiroseovarius,g__Aliiroseovarius;p__Pseudomonadota
g__Alkalilimnicola,g__Alkalilimnicola;p__Pseudomonadota
g__Alloalcanivorax,g__Alloalcanivorax;p__Pseudomonadota
g__Allomuricauda,g__Allomuricauda;p__Bacteroidota
g__Alterinioella,g__Alterinioella;p__Pseudomonadota
g__Alteromonas,g__Alteromonas;p__Pseudomonadota
g__Altibacter,g__Altibacter;p__Bacteroidota
g__Amphiplicatus,g__Amphiplicatus;p__Pseudomonadota
g__Amycolatopsis,g__Amycolatopsis;p__Actinomycetota
g__Amylibacter,g__Amylibacter;p__Pseudomonadota
g__Anaerolinea,g__Anaerolinea;p__Chloroflexota
g__Anaeromyxobacter,g__Anaeromyxobacter;p__Myxococcota
g__Anatilimnocola,g__Anatilimnocola;p__Planctomycetota
g__Ancylomarina,g__Ancylomarina;p__Bacteroidota
g__Antarcticimicrobium,g__Antarcticimicrobium;p__Pseudomonadota
g__Aquamicrobium,g__Aquamicrobium;p__Pseudomonadota
g__Aquibium,g__Aquibium;p__Pseudomonadota
g__Aquicoccus,g__Aquicoccus;p__Pseudomonadota
g__Aquihabitans,g__Aquihabitans;p__Actinomycetota
g__Aquimarina,g__Aquimarina;p__Bacteroidota
g__Aquisalimonas,g__Aquisalimonas;p__Pseudomonadota
g__Archangium,g__Archangium;p__Myxococcota
g__Ardenticatena,g__Ardenticatena;p__Chloroflexota
g__Arenibacter,g__Arenibacter;p__Bacteroidota
g__Arenibacterium,g__Arenibacterium;
g__Arenimonas,g__Arenimonas;p__Pseudomonadota
g__Aromatoleum,g__Aromatoleum;p__Pseudomonadota
g__Arsenophonus,g__Arsenophonus;
g__Arsukibacterium,g__Arsukibacterium;
g__Arthrobacter,g__Arthrobacter;p__Actinomycetota
g__Aurantimonas,g__Aurantimonas;p__Pseudomonadota
g__Aureibaculum,g__Aureibaculum;p__Bacteroidota
g__Aureisphaera,g__Aureisphaera;p__Bacteroidota
g__Aureispira,g__Aureispira;p__Bacteroidota
g__Aureitalea,g__Aureitalea;p__Bacteroidota
g__Aureliella,g__Aureliella;p__Planctomycetota
g__Azospirillum,g__Azospirillum;p__Pseudomonadota
g__Bacillus,g__Bacillus;p__Bacillota
g__Bacteriovorax,g__Bacteriovorax;p__Bdellovibrionota
g__Bacteroides,g__Bacteroides;p__Bacteroidota
g__Balneola,g__Balneola;p__Balneolota
g__Bauldia,g__Bauldia;p__Pseudomonadota
g__Bdellovibrio,g__Bdellovibrio;p__Bdellovibrionota
g__Beggiatoa,g__Beggiatoa;p__Pseudomonadota
g__Bellilinea,g__Bellilinea;p__Chloroflexota
g__Bizionia,g__Bizionia;p__Bacteroidota
g__Blastochloris,g__Blastochloris;p__Pseudomonadota
g__Blastococcus,g__Blastococcus;p__Actinomycetota
g__Blastopirellula,g__Blastopirellula;p__Planctomycetota
g__Bosea,g__Bosea;p__Pseudomonadota
g__Boseongicola,g__Boseongicola;p__Pseudomonadota
g__Bradymonas,g__Bradymonas;p__unclassified_d__Bacteria
g__Bradyrhizobium,g__Bradyrhizobium;p__Pseudomonadota
g__Bremerella,g__Bremerella;p__Planctomycetota
g__Brevefilum,g__Brevefilum;p__Chloroflexota
g__Brevibacillus,g__Brevibacillus;p__Bacillota
g__Brevundimonas,g__Brevundimonas;p__Pseudomonadota
g__Brucella,g__Brucella;p__Pseudomonadota
g__Brumimicrobium,g__Brumimicrobium;p__Bacteroidota
g__Bryobacter,g__Bryobacter;p__Acidobacteriota
g__Burkholderia,g__Burkholderia;p__Pseudomonadota
g__Bythopirellula,g__Bythopirellula;p__Planctomycetota
g__Caldilinea,g__Caldilinea;p__Chloroflexota
g__Caldithrix,g__Caldithrix;p__Calditrichota
g__Calothrix,g__Calothrix;p__Cyanobacteriota
g__Candidatus_Accumulibacter,g__Candidatus_Accumulibacter;p__Pseudomonadota
g__Candidatus_Acidoferrum,g__Candidatus_Acidoferrum;p__Acidobacteriota
g__Candidatus_Actinomarina,g__Candidatus_Actinomarina;p__Actinomycetota
g__Candidatus_Anammoximicrobium,g__Candidatus_Anammoximicrobium;p__Planctomycetota
