"UMAP1","UMAP2","Cluster","pathways","Level1","Level2","Level3","Mean_Dark","Mean_IR","Mean_All","Mean_Initial","log_Mean_Dark","log_Mean_All","log_Mean_IR","log_Mean_Initial"
-36.0506548794376,15.9100456014621,"Cluster 5","Metabolic pathways","Metabolism","Global and overview maps","Metabolic pathways",11639195.3333333,11649572.6666667,11514759.7142857,10737014,7.06592299405543,7.06125491741574,7.06631003200564,7.03088355983526
-37.097702136735,15.2731871833409,"Cluster 5","Biosynthesis of secondary metabolites","Metabolism","Global and overview maps","Biosynthesis of secondary metabolites",4911943.33333333,4935576,4873108.57142857,4569202,6.69125343633687,6.68780617656328,6.69333793173065,6.65984045326721
-37.134425554651,13.5601078844307,"Cluster 5","Microbial metabolism in diverse environments","Metabolism","Global and overview maps","Microbial metabolism in diverse environments",3232851.33333333,3168040,3184121.14285714,3086174,6.50958586783979,6.50298971891219,6.50079079348518,6.48942054887537
-39.2567490917374,13.5679232693993,"Cluster 5","Biosynthesis of cofactors","Metabolism","Global and overview maps","Biosynthesis of cofactors",2046465.33333333,2133358.66666667,2041024.85714286,1747702,6.31100460440869,6.30984850669712,6.32906408005365,6.24246763171931
-40.8026965658766,14.1567761428628,"Cluster 5","Biosynthesis of amino acids","Metabolism","Global and overview maps","Biosynthesis of amino acids",1718587.33333333,1752852,1708274,1543600,6.23517185925085,6.23255778518726,6.24374549626166,6.18853505125097
-40.1960833289142,15.6517048051952,"Cluster 5","Two-component system","Environmental Information Processing","Signal transduction","Two-component system",1645472.66666667,1641372,1661818.28571429,1772194,6.21629093645545,6.22058379472832,6.21520728515677,6.24851150692157
-39.4256953556144,15.1861491904176,"Cluster 5","Carbon metabolism","Metabolism","Global and overview maps","Carbon metabolism",1651509.33333333,1650894,1643593.42857143,1597944,6.21788129537264,6.21579466042825,6.21771945220239,6.20356182716347
-41.448631729575,16.9644927863253,"Cluster 5","Quorum sensing","Cellular Processes","Cellular community - prokaryotes","Quorum sensing",1273734,1127038.66666667,1197771.71428571,1182084,6.10507908262344,6.07837441546874,6.05193920150422,6.07264870641301
-43.2815925672961,19.8615949728957,"Cluster 5","ABC transporters","Environmental Information Processing","Membrane transport","ABC transporters",949358,904627.333333333,931404,957872,5.97743047189651,5.96913856499738,5.95647018590561,5.98130793177641
-45.0106671860179,21.3717045908846,"Cluster 5","Purine metabolism","Metabolism","Nucleotide metabolism","Purine metabolism",839230,854104,828248.285714286,717736,5.92388151770252,5.91816107001675,5.93151126426921,5.85596533508788
