pathway	pathway_description	D3	D2	D1	I3	I2	I1
map00010	Glycolysis / Gluconeogenesis	19773320.444	17615336.02	18878466.086	469190972.779	74446228.366	159326981.40399998
map00020	Citrate cycle (TCA cycle)	64972666.97189999	126004721.86500001	125673028.107	518423264.062	198487181.512	259803406.005
map00030	Pentose phosphate pathway	29363643.258	90572746.50999999	25185927.229000002	482418573.68	87556434.85	170358136.15199998
map00040	Pentose and glucuronate interconversions	7451102.454	11002478.26	12177862.78	459625082.7	65910200.82	150826164.7
map00051	Fructose and mannose metabolism	17766749.23	42255685.379999995	11774823.042	13551002.44	12103225.662999999	12464593.7346
map00052	Galactose metabolism	333844.86569999997	4140703.1439	3870931.3288000003	1376254.8423000001	3210400.0045000003	1356049.53036
map00053	Ascorbate and aldarate metabolism	7451102.454	11002478.26	12177862.78	459625082.7	65910200.82	150826164.7
map00061	Fatty acid biosynthesis	7320350.316	18495673.33	37212053.57	46238487.19	70811295.88	95226229.18
map00073	Cutin, suberine and wax biosynthesis	7481712.44	6540085.904	4685932.074	6923042.867	6343759.667	6068324.224
map00120	Primary bile acid biosynthesis	6918172.321	7967607.498	3776195.187	11426463.29	7818648.257	6791944.325
map00130	Ubiquinone and other terpenoid-quinone biosynthesis	10511247.82	22405309.76	9250871.318	10144195.4	12663008.37	19024140.04
map00190	Oxidative phosphorylation	15661819759.28	14319023898.17	13982929016.21	19133478234.010002	18914162003.25	20259393419.12
map00195	Photosynthesis	15537791803.8	14143249885.5	13827816203.6	19036762718.9	18793085908.0	20148905790.3
map00220	Arginine biosynthesis	146445555.8215	138847789.07	138350063.72	165459452.24	136802754.86	163993936.82
map00230	Purine metabolism	475772794.17	867321029.9000001	647909337.0799999	268736409.78000003	250000792.82	304200256.35
map00240	Pyrimidine metabolism	21688465.488259997	39487042.378910005	65801176.13545	57455852.23085	79566101.84136	110096469.48137002
map00250	Alanine, aspartate and glutamate metabolism	110658306.07072999	152060507.66	163289273.46600002	597297211.9089999	187406113.726	277827729.094
map00260	Glycine, serine and threonine metabolism	563332937.614	763970112.2	703700565.26	2164146932.07	697904281.94	832333999.1700001
map00261	Monobactam biosynthesis	70144925.884	73804715.84	52963163.45	503796361.38	100032831.74000001	189846483.14
map00270	Cysteine and methionine metabolism	147051324.44219002	117866558.32328	99170822.2466	629680320.28238	192537957.49192	281840070.8027
map00290	Valine, leucine and isoleucine biosynthesis	7451102.454	11002478.26	12177862.78	459625082.7	65910200.82	150826164.7
map00300	Lysine biosynthesis	145222592.0	147051847.38	125547520.17	126176309.62	86159986.28	96582050.6856
map00310	Lysine degradation	57478624.31	54601775.849999994	56372764.41	49347789.099999994	25567075.1	31456013.9256
map00311	Penicillin and cephalosporin biosynthesis	19475852.47	12595321.44	12793501.05	15065927.34	1569469.21	430046.5756
map00330	Arginine and proline metabolism	128960433.4055	175811055.0	185469772.54	598704238.67	221284366.85	281531678.34
map00332	Carbapenem biosynthesis	22987362.5615	54382150.64	111350429.22	58405812.839999996	58747571.03	50483360.839999996
map00333	Prodigiosin biosynthesis	22316483.5	34398334.01	58158369.71	15262742.15	17560446.53	14293538.65
map00340	Histidine metabolism	146290741.74042	456181607.47694	350725381.83978003	394480042.64412	363834797.95370007	287934600.09275
map00350	Tyrosine metabolism	26638428.334	57340331.98	59232891.43	490363880.65999997	106251935.46000001	199030537.82999998
map00360	Phenylalanine metabolism	23085157.36	29994594.805999998	27388779.200999998	470716277.872	82503105.377	162609739.51
map00362	Benzoate degradation	30284568.264	40020645.78	28129337.404	479335168.17899996	87109236.736	178351121.44399998
map00363	Bisphenol degradation	80165333.72	94151819.2	74889291.808	78343261.77000001	88868386.63000001	95664495.94999999
map00380	Tryptophan metabolism	97646960.62	86723086.5	90481306.72	92099785.35	140865527.9	82696229.02
map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	5159035.566	7757959.356	7099695.716	2858272.028	7422131.07	3084482.073
map00401	Novobiocin biosynthesis	22316483.5	34398334.01	58158369.71	15262742.15	17560446.53	14293538.65
map00404	Staurosporine biosynthesis	104090470.86	158359367.60999998	144029152.57	179816280.25	101384168.16	92836238.4
map00410	beta-Alanine metabolism	151788161.106	205258944.51	163868137.10000002	254963303.97	188757648.43	212789247.37
map00430	Taurine and hypotaurine metabolism	66896408.13469	53367910.92128	86964321.18360001	607421333.7423799	180950819.06892	259695800.55769998
map00440	Phosphonate and phosphinate metabolism	7451102.454	11002478.26	12177862.78	459625082.7	65910200.82	150826164.7
map00460	Cyanoamino acid metabolism	85083099.15122999	105415625.356	81165072.016	77691108.76799999	68493637.53	71785865.603
map00470	D-Amino acid metabolism	219491275.63350004	308296119.32479995	307024128.59000003	779419885.6685	289789171.4959	365950848.1856
map00480	Glutathione metabolism	1497237439.0615	2267162609.63	977516555.51	1703828139.69	1359790731.5	1839360420.19
map00500	Starch and sucrose metabolism	188185.6711	4022676.114	3602070.614	1172399.989	3104668.24	1259696.136
map00520	Amino sugar and nucleotide sugar metabolism	25381557.593000002	14372726.805	13058891.739999998	27593449.36	23867949.0	22408328.72
map00524	Neomycin, kanamycin and gentamicin biosynthesis	10114913.2545	22585257.095	57319322.153	59098172.89	54440133.71	46591989.43
map00540	Lipopolysaccharide biosynthesis	9444034.193	2601440.465	4127262.643	15955102.2	13253009.21	10402167.24
map00541	Biosynthesis of various nucleotide sugars	38120236.783	65830975.215	20585522.777999997	39359949.17	35977135.35	35048089.26
map00550	Peptidoglycan biosynthesis	9444034.193	2601440.465	4127262.643	15955102.2	13253009.21	10402167.24
map00552	Teichoic acid biosynthesis	463913708.893	635281004.265	609239961.143	1621733653.2	566693107.21	608298174.84
map00561	Glycerolipid metabolism	70821265.13	66669528.97	95282867.57	97013708.78	111123222.0	63124746.54
map00564	Glycerophospholipid metabolism	5132556752.55	5947764400.84	5884281701.509999	8205026940.58	6146987559.15	5275892677.570001
map00565	Ether lipid metabolism	3200933360.0	2877986845.0	2788971024.0	4099897703.0	3177714843.0	2867068735.0
map00620	Pyruvate metabolism	19773320.444	17615336.02	18878466.086	469190972.779	74446228.366	159326981.40399998
map00621	Dioxin degradation	7451102.454	11002478.26	12177862.78	459625082.7	65910200.82	150826164.7
map00622	Xylene degradation	7451102.454	11002478.26	12177862.78	459625082.7	65910200.82	150826164.7
map00623	Toluene degradation	80165333.72	94151819.2	74889291.808	78343261.77000001	88868386.63000001	95664495.94999999
map00624	Polycyclic aromatic hydrocarbon degradation	405809.16436	9319196.06054	6637161.77027	21498542.7654	6297661.6179	7952744.481070001
map00626	Naphthalene degradation	60528.42494	278885.8631	943107.0915	687415.3456	301970.7605	1097842.98
map00627	Aminobenzoate degradation	83751228.6011	116770559.84500001	91198109.461	109525276.94900002	110516146.59500001	114798501.59799999
map00630	Glyoxylate and dicarboxylate metabolism	128337369.46339999	208790776.07499996	219650388.287	605737613.4319999	273796936.932	335013546.635
map00640	Propanoate metabolism	13635736.967	10393170.819	9734129.754	12522285.497	12474946.547	11523712.868
map00643	Styrene degradation	11788538.317	15014470.249	11144747.153	11189318.562	13109692.488	11721988.901
map00650	Butanoate metabolism	8121981.5155	30986294.89	65369922.29	502768153.39	107097325.32	187015986.89
map00660	C5-Branched dibasic acid metabolism	8832100.5791	39623930.302	77533039.11	510883242.43799996	113849174.416	195187192.503
map00670	One carbon pool by folate	715192901.5	817091579.3	1022566401.1	1749592953.9	677636641.0	792124359.9000001
map00680	Methane metabolism	38960646.324	63953189.739999995	65933494.736	499929770.73899996	114787963.00600001	207531354.53399998
map00710	Carbon fixation by Calvin cycle	95205823.064	131875822.01	67190397.794	525128751.269	120678045.636	210987060.38399997
map00720	Other carbon fixation pathways	64972666.97189999	126004721.86500001	125673028.107	518423264.062	198487181.512	259803406.005
