ASV,degree,betweenness,closeness,eigenvector,Zi,Pi,Role,RF_Importance,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,is_keystone,module
ASV1459,0.31666666666666665,0.002491374218348787,0.27085346215781003,0.13049596912877023,1.1547005383792517,0.7941176470588235,Connector,0.0039014373716632442,Bacteria,k__norank_d__Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,s__unclassified_g__Halomonas,False,0
ASV2875,0.31666666666666665,0.002491374218348787,0.27085346215781003,0.13049596912877023,1.1547005383792517,0.7941176470588235,Connector,0.0,Bacteria,k__norank_d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Mesonia,s__unclassified_g__Mesonia,False,0
ASV380,0.06666666666666667,0.46610169491525427,0.3132216014897579,0.015492368221491519,0,0.7058823529411765,Connector,0.04106776180698152,Bacteria,k__norank_d__Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,g__unclassified_f__Paracoccaceae,s__unclassified_f__Paracoccaceae,True,0
ASV44,0.2,0.05877041867807783,0.29201388888888885,0.07224717343926207,0.7844645405527358,0.7391304347826086,Connector,0.011293634496919919,Bacteria,k__norank_d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,s__uncultured_Bacteroidetes_bacterium_g__Vicingus,False,0
ASV5219,0.3,0.001718437372561216,0.26955128205128204,0.12397249488619798,1.1547005383792517,0.7941176470588235,Connector,0.006160164271047228,Bacteria,k__norank_d__Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,s__unclassified_g__Halomonas,False,0
ASV1619,0.43333333333333335,0.19593124718886615,0.3203809523809524,0.17053299288043772,0,0.1935483870967742,Peripheral,0.030800821355236138,Bacteria,k__norank_d__Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,s__unclassified_g__Halomonas,False,1
ASV279,0.06666666666666667,0.0,0.21237373737373738,1.0039812152640957e-06,0.6593804733957864,0.09090909090909091,Peripheral,0.026694045174537988,Bacteria,k__norank_d__Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae1,Alcanivorax,s__unclassified_g__Alcanivorax,False,2
ASV378,0.15,0.08993150838489826,0.25601217656012176,2.7434488425313287e-06,0.9146838249186698,0.0,Peripheral,0.01642710472279261,Bacteria,k__norank_d__Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria,False,2
ASV17,0.15,0.08993150838489826,0.25601217656012176,2.7434488425313287e-06,0.9146838249186698,0.0,Peripheral,0.017590691307323752,Bacteria,k__norank_d__Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,s__uncultured_Bacteriovorax_sp._g__Peredibacter,False,2
ASV377,0.15,0.024648013631064492,0.21986928104575162,1.8229973757904019e-06,1.1292554771849368,0.0,Peripheral,0.019507186858316223,Bacteria,k__norank_d__Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Bradymonadales,f__norank_o__Bradymonadales,g__norank_o__Bradymonadales,s__uncultured_delta_proteobacterium_o__Bradymonadales,False,2
