name	contig	type	start	stop	strand	legend
-	IR3_k97_182294	MAG57	1671	946	-	MAG57_gene0003
-	IR3_k97_182294	MAG57	2159	1659	-	MAG57_gene0004
-	IR3_k97_182294	MAG57	2578	2216	-	MAG57_gene0005
bapA	IR3_k97_182294	MAG57	6892	2588	-	MAG57_gene0006
-	IR3_k97_182294	MAG57	8440	7142	-	MAG57_gene0007
nagA	IR3_k97_182294	MAG57	11613	8548	-	MAG57_gene0008
rfaE2	IR3_k97_182294	MAG57	12784	12266	-	MAG57_gene0010
-	IR3_k97_182294	MAG57	13831	12854	-	MAG57_gene0011
panD	IR3_k97_182294	MAG57	14189	13839	-	MAG57_gene0012
panC	IR3_k97_182294	MAG57	15044	14205	-	MAG57_gene0013
pal	IR3_k97_182294	MAG57	17013	15121	-	MAG57_gene0014
bapA	IR3_k97_182294	MAG57	24544	17948	-	MAG57_gene0016
glgA	IR3_k97_182294	MAG57	25152	25982	+	MAG57_gene0018
ftsK	IR3_k97_284182	MAG57	1349	3	-	MAG57_gene0020
speA	IR3_k97_284182	MAG57	3664	2264	-	MAG57_gene0022
rocF	IR3_k97_284182	MAG57	3747	4709	+	MAG57_gene0023
argS	IR3_k97_284182	MAG57	4799	6574	+	MAG57_gene0024
dmpC	IR3_k97_284182	MAG57	9351	7909	-	MAG57_gene0026
czrA	IR3_k97_284182	MAG57	9518	9802	+	MAG57_gene0027
-	IR3_k97_284182	MAG57	9807	10601	+	MAG57_gene0028
gloB	IR3_k97_284182	MAG57	10617	12035	+	MAG57_gene0029
pspE	IR3_k97_284182	MAG57	12054	12329	+	MAG57_gene0030
pspE	IR3_k97_284182	MAG57	12454	12750	+	MAG57_gene0031
czrA	IR3_k97_284182	MAG57	12811	13107	+	MAG57_gene0032
tolC	IR3_k97_284182	MAG57	13129	14469	+	MAG57_gene0033
acrA	IR3_k97_284182	MAG57	14485	15549	+	MAG57_gene0034
-	IR3_k97_284182	MAG57	15647	18832	+	MAG57_gene0035
